Unicode,Emocion,Polaridad,Intensidad,Nombre,Alegria,Colera,Miedo,Tristeza,Amor,Sorpresa,Verguenza,Aversion
\u0001F600,Alegría,Positivo,2,:grinning:,2,0,0,0,0,0,0,0
\u0001F603,Alegría,Positivo,2,:smiley:,2,0,0,0,0,0,0,0
\u0001F604,Alegría,Positivo,3,:smile:,3,0,0,0,0,0,0,0
\u0001F601,Alegría,Positivo,4,:grin:,4,0,0,0,0,0,0,0
\u0001F606,Alegría,Positivo,5,:laughing:,5,0,0,0,0,0,0,0
\u0001F605,Vergüenza,Neutro,0,:sweat_smile:,2,0,0,0,0,0,3,0
\u0001F602,Alegría,Positivo,5,:joy:,5,0,0,0,0,0,0,0
\u0001F923,Alegría,Positivo,5,:rofl:,5,0,0,0,0,0,0,0
\u000263A,Amor,Positivo,1,:relaxed:,1,0,0,0,1,0,1,0
\u0001F60A,Alegría,Positivo,1,:blush:,1,0,0,0,0,0,0,0
\u0001F607,Alegría,Positivo,1,:innocent:,1,0,0,0,0,0,0,0
\u0001F642,Alegría,Positivo,1,:slight_smile:,1,0,0,0,0,0,0,1
\u0001F643,Aversión,Negativo,-1,:upside_down:,0,1,0,0,0,0,0,1
\u0001F609,Alegría,Positivo,2,:wink:,2,0,0,0,1,0,0,0
\u0001F60C,Alegría,Positivo,1,:relieved:,1,0,0,0,1,0,0,0
\u0001F60D,Amor,Positivo,5,:heart_eyes:,4,0,0,0,5,0,0,0
\u0001F618,Amor,Positivo,4,:kissing_heart:,0,0,0,0,4,0,0,0
\u0001F617,Amor,Positivo,2,:kissing:,0,0,0,0,2,0,0,0
\u0001F619,Amor,Positivo,3,:kissing_smiling_eyes:,0,0,0,0,3,0,0,0
\u0001F61A,Amor,Positivo,3,:kissing_closed_eyes:,0,0,0,0,3,0,1,0
\u0001F60B,Alegría,Positivo,2,:yum:,2,0,0,0,0,0,0,0
\u0001F61C,Alegría,Positivo,3,:stuck_out_tongue_winking_eye:,3,0,0,0,0,0,0,0
\u0001F61D,Alegría,Positivo,4,:stuck_out_tongue_closed_eyes:,4,0,0,0,0,0,0,0
\u0001F61B,Alegría,Positivo,2,:stuck_out_tongue:,2,0,0,0,0,0,0,0
\u0001F911,Alegría,Positivo,4,:money_mouth:,4,0,0,0,0,0,0,0
\u0001F917,Alegría,Positivo,1,:hugging:,1,0,0,0,0,0,0,0
\u0001F913,Alegría,Positivo,1,:nerd:,1,0,0,0,0,0,0,0
\u0001F60E,Alegría,Positivo,2,:sunglasses:,2,0,0,0,0,0,0,0
\u0001F920,Alegría,Positivo,1,:cowboy:,1,0,0,0,0,0,0,0
\u0001F60F,Amor,Positivo,2,:smirk:,2,0,0,0,1,0,0,0
\u0001F612,Aversión,Negativo,-4,:unamused:,0,3,0,0,0,0,0,4
\u0001F61E,Tristeza,Negativo,-3,:disappointed:,0,0,0,2,0,0,0,0
\u0001F614,Tristeza,Negativo,-3,:pensive:,0,0,0,3,0,0,0,0
\u0001F61F,Sorpresa,Negativo,-2,:worried:,0,0,0,2,0,2,0,0
\u0001F615,Tristeza,Negativo,-1,:confused:,0,0,0,1,0,0,0,0
\u0001F641,Tristeza,Negativo,-2,:slight_frown:,0,0,0,2,0,0,0,0
\u0002639,Tristeza,Negativo,-3,:frowning2:,0,0,0,3,0,0,0,0
\u0001F623,Miedo,Negativo,-4,:persevere:,0,0,3,2,0,0,0,1
\u0001F616,Miedo,Negativo,-5,:confounded:,0,0,4,2,0,0,0,1
\u0001F629,Aversión,Negativo,-5,:tired_face:,0,0,1,1,0,0,0,5
\u0001F624,Cólera,Negativo,-5,:triumph:,0,5,0,0,0,0,0,2
\u0001F620,Cólera,Negativo,-4,:angry:,0,4,0,0,0,0,0,1
\u0001F621,Cólera,Negativo,-5,:rage:,0,5,0,0,0,0,0,2
\u0001F636,Sorpresa,Neutro,0,:no_mouth:,0,0,0,0,0,1,0,0
