label,text
positivo,Hoy soñé que el comercial de los productos de #SedalDetoxByYuya se vió en TV peruana dicho y echo HOY SALIÓ!  @yuyacst ❤️😻
negativo,@ClauEstradaP @yuyacst X2
positivo,@yuyacst Ayer con tus instastories te imaginé así 😂💕 https://t.co/XK9ozPiaWV
positivo,@yuyacst Saludos wuapura😁😉
positivo,@MxViem Recolección #Pet Botella para reconstruir 🏡 #MéxicoUnidos #FuerzaMexico @yuyacst @NuriaDiazMaso… https://t.co/U5eAIMcKKs
negativo,@YuyaEspana @yuyacst Jajaja no entendí tu lógica my God
positivo,¡AL FIN EN MIS MANOS! AMOO TU SHAMPOO @yuyacst LO PROBE Y ME ENAMORE Cuando fui a buscarlo ya no había casi nada es… https://t.co/94ULzM2xd4
negativo,https://t.co/UUHnK7h13I @yuyacst @GermanGarmendia @Rubiu5
negativo,@SoyElManotas @uggzo @yuyacst @PaoPoulain Un poco de dignidad no le vendría nada mal.
positivo,@yuyacst amé la historia de Conchita jaja me dio ternura como la contaste y esto me mató 😂😂🙌💓 un abrazo! https://t.co/lcIcrNCQ5I
negativo,@yuyacst Yuya cómo sigue el estado de morelos
positivo,@yuyacst Hola yuya! me parece excelente que estés recaudando víveres para los damnificados ese gesto de solidaridad… https://t.co/vh3GaZB0dy
negativo,Tambien @ChespiritoRGB @ANAGABRIELRL @badbunnyPR @JBALVIN @ArcangelPrrra @joshuadun @gerardway @yuyacst @werevertumorro @belindapop
negativo,@AXIOKRIA @yuyacst @SedalMexico @alerivera10  lo bezzzz
negativo,@AXIOKRIA @yuyacst @SedalMexico @jessicabriones3  si era el shampoou.u
positivo,Me metí a una app y ve el anuncio que me apareció @yuyacst😍😍 yo me sigo emocionando como la primera vez JAJA https://t.co/twnOjwrJS5
negativo,@uggzo @yuyacst @PaoPoulain Esto le escribió la cuñada https://t.co/qihXYeOrVg
negativo,@yuyacst Creo que es necesario pedir que donen casas para acampar puesto que mucha gente duerme en la calle por cuidar sus pertenencias
negativo,Se unen @yuyacst y @jlo R.I.P. Hugh Hefner
positivo,"Hoy @yuyacst y yo nos vestimos igual, siempre he sabido de su buen gusto 💖👌🏼 https://t.co/2eSXc8o1dF"
positivo,@yuyacst 😭😭 es tan triste pensar en esas personas que estan sufriendo tantos niñitos 💔 me parte el corazón
negativo,@FredOleaPi @OphCourse @yuyacst @ServicioAgencia Falta ayuda en San Rafael Zaragoza
positivo,@yuyacst no sabes lo feliz que estoy de que mañana vuelvasss❤
positivo,"@yuyacst tengo tu shampoo😭 no sabes lo feliz que estoy AMO COMO ME DEJA EL PELITO😍 Saludos de Argentina, te amo💕💕.… https://t.co/99P5ALvGu1"
negativo,@gabybahena2 @uggzo @yuyacst @PaoPoulain Mejor regalemosle una cruz y la a marramos
positivo,@yuyacst 😘
positivo,¡Mañana tenemos de vuelta los videos de @yuyacst!🎉
negativo,Ahora que murió Hugh Hefner me pregunto si aún buscarán a @yuyacst para que salga en @playboy_revista
positivo,"@yuyacst ¿Sigues en esa dirección?, quiero ir mañana, por fa! Dime que sí!"
negativo,"@maire_wink tú que si me harías caso, no como @yuyacst  Enséñanos a hacer ""atrapasueños"" #pls"
