label,text
positivo,Hoy soñé que el comercial de los productos de #SedalDetoxByYuya se vió en TV peruana dicho y echo HOY SALIÓ!  @yuyacst ❤️😻
neutro,@ClauEstradaP @yuyacst X2
positivo,@yuyacst Ayer con tus instastories te imaginé así 😂💕 https://t.co/XK9ozPiaWV
positivo,@yuyacst Saludos wuapura😁😉
positivo,@MxViem Recolección #Pet Botella para reconstruir 🏡 #MéxicoUnidos #FuerzaMexico @yuyacst @NuriaDiazMaso… https://t.co/U5eAIMcKKs
neutro,@YuyaEspana @yuyacst Jajaja no entendí tu lógica my God
positivo,¡AL FIN EN MIS MANOS! AMOO TU SHAMPOO @yuyacst LO PROBE Y ME ENAMORE Cuando fui a buscarlo ya no había casi nada es… https://t.co/94ULzM2xd4
neutro,https://t.co/UUHnK7h13I @yuyacst @GermanGarmendia @Rubiu5
negativo,@SoyElManotas @uggzo @yuyacst @PaoPoulain Un poco de dignidad no le vendría nada mal.
positivo,@yuyacst amé la historia de Conchita jaja me dio ternura como la contaste y esto me mató 😂😂🙌💓 un abrazo! https://t.co/lcIcrNCQ5I
neutro,@yuyacst Yuya cómo sigue el estado de morelos
positivo,@yuyacst Hola yuya! me parece excelente que estés recaudando víveres para los damnificados ese gesto de solidaridad… https://t.co/vh3GaZB0dy
neutro,Tambien @ChespiritoRGB @ANAGABRIELRL @badbunnyPR @JBALVIN @ArcangelPrrra @joshuadun @gerardway @yuyacst @werevertumorro @belindapop
neutro,@AXIOKRIA @yuyacst @SedalMexico @alerivera10  lo bezzzz
neutro,@AXIOKRIA @yuyacst @SedalMexico @jessicabriones3  si era el shampoou.u
positivo,Me metí a una app y ve el anuncio que me apareció @yuyacst😍😍 yo me sigo emocionando como la primera vez JAJA https://t.co/twnOjwrJS5
neutro,@uggzo @yuyacst @PaoPoulain Esto le escribió la cuñada https://t.co/qihXYeOrVg
neutro,@yuyacst Creo que es necesario pedir que donen casas para acampar puesto que mucha gente duerme en la calle por cuidar sus pertenencias
neutro,Se unen @yuyacst y @jlo R.I.P. Hugh Hefner
positivo,"Hoy @yuyacst y yo nos vestimos igual, siempre he sabido de su buen gusto 💖👌🏼 https://t.co/2eSXc8o1dF"
