favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
881,Twitter for iPhone,"""Me dejaste sin mi otra mitad "".",,False,Wed Sep 04 00:22:24 +0000 2013,1749,375051183649349632
0,Twitter for BlackBerry®,@iBloggsVhh si gracias :),ThatNoisyGuy_,False,Fri Jun 10 13:40:43 +0000 2011,0,79181196445224961
512,Twitter for iPhone,@werevertumorro Te extraño.,werevertumorro,False,Sun Oct 13 03:31:41 +0000 2013,255,389231943675424768
9021,Twitter Web Client,Nadie como tú.,,False,Tue Nov 15 03:07:50 +0000 2016,4412,798361839931297792
323,Twitter Web Client,''No olviden darle me gusta a mi Facebook'' :)   ¡Todos los días hay cosas nuevas y tips buenazos!  https://t.co/FytAVC6qBH,,False,Mon Nov 18 23:37:38 +0000 2013,115,402581394120900608
7,Twitter Web Client,Recuerdo cuando pensaba que eras diferente.. jajajajaja.,,False,Fri Aug 26 06:31:37 +0000 2011,27,106977078909480960
1434,Twitter for iPhone,"Ay, 24 horas no son suficientes.",,False,Fri Jun 06 10:07:03 +0000 2014,1048,474854977664737280
0,Twitter for iPhone,@ricardopolanco_ Lo sospechaba por tus dientitos.,ricardopolanco_,False,Sat Apr 28 01:58:38 +0000 2012,1,196055792305180673
37,Twitter Web Client,"Amé tu pasado, pero tú cambiaste tu presente y ya no creo encontrarme en tu futuro..",,False,Sun Aug 21 00:40:07 +0000 2011,129,105076678593740801
253,Twitter for iPhone,@werevertumorro :( :(.,werevertumorro,False,Tue Oct 22 04:14:54 +0000 2013,85,392504311566983169
7197,Twitter for iPhone,Me encantas desde el primer día.,,False,Fri Oct 23 04:01:44 +0000 2015,5312,657406525686677504
5267,Twitter Web Client,"¡Guapuras bonitas muy pronto nos vemos, ESTOY FELIZ! #True #YuyaTrue
--&gt; http://t.co/UBhsnsswET http://t.co/VBwoGbmDAC",,False,Fri Jul 10 18:02:20 +0000 2015,1615,619567342532440064
0,Twitter for BlackBerry®,@BettoVeera jajajajajajaja aww :),BetoVeera,False,Fri Sep 23 20:36:06 +0000 2011,0,117336459341594625
2154,Vine - Make a Scene,"Nos vemos el jueves 17 de julio en ""LA FERIA DE CHAPULTEPEC""   Voy a estar de 11:30 am a 6:00 pm 💕👯 (La ent... https://t.co/V91EiXaJAS",,False,Wed Jul 16 18:14:33 +0000 2014,572,489473175810760704
0,Twitter for BlackBerry®,Me voy al centro :) creo,,False,Sat Mar 26 18:10:42 +0000 2011,0,51707666225045504
3163,Twitter for iPhone,Ashhhhhhh espacial también jajaja.,,False,Fri Sep 25 13:20:17 +0000 2015,522,647400228912541696
0,Twitter for BlackBerry®,Me encanta este clima :),,False,Tue Jun 21 16:13:27 +0000 2011,11,83205903461007360
7039,Twitter Web Client,"Guapuras, los llevo conmigo a todos lados, aquí el primer video del #TrueTour  CHILE --&gt; https://t.co/Mf7hMoOA1u http://t.co/zA1gTQ9ZPR",,False,Sat Jul 18 15:25:50 +0000 2015,1514,622427064340230144
1512,Vine - Make a Scene,Fichis y la mamá siendo dramáticos por que encontraron una araña. (Muerta) https://t.co/7LW5RXNKGP,,False,Wed Jul 09 22:42:59 +0000 2014,297,487004013146411008
721,Twitter for iPhone,@yuyacstperu jajajjajajajajajajja 😂,yuyacstperu,False,Fri Apr 10 22:21:10 +0000 2015,120,586655184534671363
0,Twitter for iPhone,@FernnPolo aww que bonita eres :) saludos!,Moquitosmr,False,Wed Nov 23 00:10:38 +0000 2011,0,139133721440821248
475,Vine - Make a Scene,Y te mato. https://t.co/qzQiUS9Ohf,,False,Fri Jul 12 00:23:19 +0000 2013,271,355482468746395649
3452,Twitter for iPhone,EzZthoy pENzandOo eEn tHi.,,False,Mon Oct 06 02:43:47 +0000 2014,1915,518954743192768512
0,Twitter Web Client,@Lummyta @QueDiceJavi .. aww no muerdo :)!,ClauQuiva,False,Thu Nov 18 13:09:31 +0000 2010,0,5246223401357312
1,Twitter Web Client,Buenas noches,,False,Mon Apr 18 06:30:24 +0000 2011,2,59866348465041408
245,Twitter Web Client,"OYE OYE, video nuevo :)  http://t.co/zZYNtxOh ¡RTRT!",,False,Sun Sep 16 16:57:32 +0000 2012,693,247378698003697665
1,Twitter Web Client,@IsraaTorres con quien te juntas Isra :) jaja,IsraaTorres,False,Sat Sep 24 07:09:12 +0000 2011,1,117495785188368384
6011,Twitter Web Client,Mañana #AQUINOMEMAQUILLO (: http://t.co/Rrzd6rM1AC,,False,Thu May 22 00:25:50 +0000 2014,1174,469272890563518464
1051,Twitter for iPhone,Me estoy derritiendo.,,False,Mon Mar 24 23:50:56 +0000 2014,911,448245612199161856
4677,Twitter for iPhone,"Fichis muy serio me dice ""Soy como esas señoras de la antigüedad que les cerraban el corset a sus hijas"". ( 😸 ) http://t.co/3tPjyNNw5y",,False,Tue Sep 23 18:52:05 +0000 2014,950,514487382679502848
1980,Instagram,🐙 http://t.co/SEyt3ZlTSB,,False,Mon Feb 09 14:54:03 +0000 2015,388,564799393560535040
696,Twitter for iPhone,"@GuapurasMty ¡Jajajajajajajaja la risototota, amooo! 😂",GuapurasMty,False,Fri Jan 06 02:52:28 +0000 2017,76,817202145065725952
1,Twitter for BlackBerry®,"""@soydieguin: @yuyacst hola Yuya saliste bien en las fotos si quieres luego te las paso o mando :)""wuhu si que si, acepto :) :)!",,False,Fri May 27 13:56:09 +0000 2011,0,74111652622114816
0,Twitter Web Client,"Acabo de llegar de teatro, ahora termino mi curriculum y edito el video..",,False,Thu Apr 14 02:32:11 +0000 2011,1,58356847157055489
0,Twitter Web Client,"@AdilsonSanchez3 vete a bañar tu, deja de andar en twitter :)",_AdilNext,False,Mon Aug 15 20:21:12 +0000 2011,0,103199581256421377
1,Twitter for BlackBerry®,@drummeredd jajajajajajajajajaajaja no hagas eso :)!!,Pincheddy,False,Mon Oct 03 21:34:00 +0000 2011,1,120974909324271616
300,Twitter for iPhone,"@Daniel_Jaguaru Jajajajajajajajajaja ush, andas insoportable.  😁",Daniel_Jaguaru,False,Sun Jun 15 02:26:42 +0000 2014,45,478000618083475457
5257,Twitter for iPhone,Espero que todo bien :).,,False,Fri Dec 30 07:39:13 +0000 2016,670,814737589911560192
1,Twitter Web Client,@JorgeAlejaandro :).,JorgeAlejaandro,False,Fri May 04 02:26:23 +0000 2012,1,198237103191109632
390,Twitter Web Client,VIDEO NUEVO NUEVO :D http://t.co/aVBQXTtU  RTRT&lt;3,,False,Sat Dec 01 06:55:36 +0000 2012,831,274768694813552640
8328,Twitter for iPhone,"RT RT ¡Listo amigos, les dejo toda la info del lugar en donde estaremos recibiendo donaciones! 🙏… https://t.co/LBjUelh0Xh",,False,Wed Sep 20 19:37:12 +0000 2017,5076,910588672973561856
9,Twitter for iPhone,@dianifer55 Abrazo enorme :).,dianifer55,False,Mon Apr 22 02:06:10 +0000 2013,7,326154934871523330
27,Twitter for BlackBerry®,Hace mucho no sentía la necesidad de ver a alguien.,,False,Tue Nov 29 06:27:49 +0000 2011,97,141402966748958720
9922,Twitter for iPhone,🌚 https://t.co/X70kzVBmsI,,False,Mon Nov 23 05:46:08 +0000 2015,1058,668666821801738240
2531,Twitter for iPhone,Tú y nadie más.,,False,Fri Aug 29 23:20:52 +0000 2014,2245,505495325961105408
482,Twitter for iPhone,"Dormir en paz, sin ruido en la cabeza.",,False,Wed Jul 03 09:55:48 +0000 2013,994,352365048779378689
3448,Twitter for iPhone,😠 http://t.co/f4ScEHHOFN,,False,Tue Sep 23 04:26:33 +0000 2014,591,514269565686411265
6363,Twitter for iPhone,❤️ http://t.co/mMUUCoEOkY,,False,Mon Sep 15 02:54:08 +0000 2014,982,511347203483643904
0,Twitter for iPhone,#FF a @vivaaerobus por que si :),,False,Sat Feb 18 00:19:39 +0000 2012,4,170663734803578882
49,Twitter for iPhone,"Ver ""Princesitas"" me da tristeza ajena o alguito de eso.",,False,Tue Apr 24 06:57:27 +0000 2012,189,194681442213703680
2962,Twitter for iPhone,¡Sorprende a tu mamá! 🌸👯  (Una idea súper bonita y fácil de hacer) &gt;&gt; http://t.co/cadYz4fRvk,,False,Sat May 09 20:00:56 +0000 2015,584,597129144116256768
3,Twitter for BlackBerry®,Rwwaaaaarrrrrg!!!,,False,Sun Sep 18 06:27:30 +0000 2011,16,115310961254088705
8008,Twitter for iPhone,Quiero dormir un poquito.,,False,Thu Sep 01 00:46:37 +0000 2016,2589,771147215049859072
